Competition ID,Competition,Sport,Opseg vremena,mean,percentile_20,percentile_40,percentile_60,percentile_80,percentile_90,percentile_95,percentile_99.9,start_hour,end_hour
178,Engleska FA Trofej,Fudbal,"(1, 2]",4173.791139378625,1054.6676399223506,1840.5636311815679,3250.3021329306066,5999.9697783133015,9518.534028381706,11864.834555771202,28553.60089093888,1,2
2730,Kostarika 1 Apertura Play off,Fudbal,"(16, 20]",4173.265156978532,295.0216676469446,686.9119957452417,3563.904153931231,7354.663968949409,10458.8254940958,12595.034900667202,14688.520119107183,16,20
4463,WTA Melbourne 2 Dublovi,Tenis,"(2, 3]",4172.218771758149,168.483889772743,1387.8693413749347,2392.365960781006,5958.789671588176,12113.551085176152,15529.393630947434,18423.371910168735,2,3
5419,Malta 2,Fudbal,"(1, 2]",4171.53123747165,260.9892534279674,616.8197424005718,1749.1038827679456,5987.563779902433,11799.033489490772,20519.892294002508,44641.84659877507,1,2
2862,ATP Montpellier Dublovi,Tenis,"(16, 20]",4163.930115290619,56.41197354391218,2985.7199944856025,5896.6224600918595,7571.880763478726,8021.256580178142,8245.94448852785,8466.138638710563,16,20
486,Finska 3/A,Fudbal,"(2, 3]",4162.580774214185,640.418589932844,2995.344382977858,4546.18358617302,7912.530332090333,7940.854501049966,9159.461198091181,10353.695761191577,2,3
4322,Evropski Kup,Rukomet,"(1, 2]",4157.68217638259,58.90510592609644,280.20894197002053,683.661795899272,4628.610652238131,10429.52260267362,24746.44572440069,45437.709311902974,1,2
1224,ATP Ch. Charlottesville,Tenis,"(3, 4]",4154.709050312779,455.966533276439,1850.6627317663133,2570.7660686685595,4740.81473314035,8083.794943217561,9111.440734067446,42080.109020509684,3,4
1070,Vels Liga Kup,Fudbal,"(4, 8]",4150.97415449921,980.6355065180363,2387.1903913325373,3810.6053383625213,4983.209198109411,8496.816459664838,10991.492240730027,13436.27450617393,4,8
5351,WTA ITF Petange,Tenis,"(0, 1]",4150.789370537894,351.96640783101327,1380.659762659669,2061.8633526690937,4478.306193136723,7130.280210382043,14684.271822734125,42521.315826519894,0,1
2780,(Z) Italija 1,Fudbal,"(2, 3]",4150.672907127696,464.461998001039,793.4553677699566,2120.1438420903382,5508.7427225095325,12096.296526057371,18411.624810214933,31951.03449731582,2,3
2871,ATP Rotterdam Dublovi,Tenis,"(36, 48]",4149.591416719059,2470.128844474256,4886.128284813463,6135.405772194266,6217.961306616664,6259.239073827863,6279.877957433462,6300.10406336695,36,48
5402,WTA Angers,Tenis,"(1, 2]",4145.721429122171,594.2418900725246,1747.884312199056,4685.655527053625,6577.913184120506,7822.812945052981,9727.516258295924,22443.85370508355,1,2
4342,Players Championship Finals,Pikado,"(1, 2]",4144.971138058092,64.95048489421606,259.29398547858,1403.2392405346036,6739.807953350246,12973.438387945294,20215.723064808248,27175.057278243454,1,2
3462,(Z) Turska,Košarka,"(1, 2]",4144.204387431866,346.29360869526863,1206.547981465608,2639.580435474664,5998.6337374146615,10244.219467696586,15433.009787006666,38124.529397523336,1,2
209,Japan 2,Fudbal,"(8, 12]",4142.749396482084,1020.3841634967476,1755.1561111418605,2813.6823625765737,5592.581429863304,10162.105175095054,14909.25317166481,24896.056528746696,8,12
4610,Kval. EP 2023 U21,Fudbal,"(20, 24]",4142.626235391592,609.0123115441203,1305.7562131682039,3374.156906739145,6317.870354702572,11834.785012441218,14326.080834063614,28155.278424868393,20,24
5507,Finska 1,Košarka,"(3, 4]",4141.2319776563445,1262.9852254859804,2653.4802908040583,3212.4258073377086,4361.161228839309,9935.505129310372,12913.047177007553,15768.724726585267,3,4
3348,Belorusija 1 Play out,Fudbal,"(3, 4]",4133.10064012371,3260.9916942089794,3842.3976581521333,4423.803622095287,5005.209586038441,5295.912568010018,5441.2640589958055,5583.708520161879,3,4
5349,WTA Montevideo Dublovi,Tenis,"(4, 8]",4131.362172889948,22.174267745763068,269.9957735204549,1507.80645029217,2636.0689359557337,8624.969795433526,18737.416436808962,28647.614145356936,4,8
11,Engleska 3,Fudbal,"(24, 36]",4126.008588254744,1085.3396411143244,1698.666494435668,2388.8493328982886,3917.3406115795674,5909.8220517500995,10013.324442897665,88181.27724529589,24,36
4856,(Z) Kval. EP 2022,Rukomet,"(3, 4]",4124.76983839379,1159.6578493398279,3098.4657419051982,4373.571350517511,5152.444865370542,8778.104096559198,11086.301889729846,12468.177103113214,3,4
1892,Liga Sampiona,Rukomet,"(12, 16]",4124.677162063426,1294.3443051099778,1688.7140875260156,3278.2844627459194,4825.226355720818,7358.765772549119,14880.034331063616,32057.55995143475,12,16
2884,ATP Marseille Dublovi,Tenis,"(3, 4]",4124.20417519649,122.28753526881337,209.5497471652925,428.51603312045336,5793.283179074526,6291.78555625081,17651.906349141987,28784.82472617539,3,4
3867,Estonija 2,Fudbal,"(8, 12]",4123.020079183565,453.7448807232977,1832.6668428161747,4290.8716666653745,8269.874738561533,9898.748242903854,10011.53003440094,10055.81384380865,8,12
4432,(Z) Danska 2,Rukomet,"(0, 1]",4121.963452542014,3000.1012405611573,4061.338326004744,4942.562009604424,5395.820350627899,5515.458185495585,5575.277102929428,5633.899642014594,0,1
